ID,LOCALITY,ZIPCODE,CITY
1103,D C GOYLA,502239,NEW DELHI
1104,D C NANGLI SAKRAVATI,502241,NEW DELHI
1105,DELHI ENGINEERING COLLEGE,502243,NEW DELHI
1106,DELHI INDUSTRAIL AREA,502245,NEW DELHI
1107,DELHI PATEL NAGAR,502247,NEW DELHI
1108,DELHI SADAR BAZAR,502249,NEW DELHI
1109,DELHI UNIVERSITY,502251,NEW DELHI
1110,DEOLI,502253,NEW DELHI
1111,DERA,502255,NEW DELHI
1112,DHANSA,502257,NEW DELHI
1113,DICHAON KALAN,502259,NEW DELHI
1114,DINDARPUR,502261,NEW DELHI
1115,DISTRICT COURT,502263,NEW DELHI
1116,DK MOHAN GARDEN,502265,NEW DELHI
1117,BAZAR ROAD,502267,NEW DELHI
1118,OLD SEEMAPURI,502269,NEW DELHI
1119,TECHNOLOGY BHAVAN,502271,NEW DELHI
1120,TEHKHAND EDSO,502273,NEW DELHI
1121,TELIWARA,502275,NEW DELHI
1122,TIKRI KALAN,502277,NEW DELHI
1123,TIKRI KHURD,502279,NEW DELHI
1124,TILAK NAGAR EAST,502281,NEW DELHI
1125,TILANGPUR KOTLA,502283,NEW DELHI
1126,TUGHLAKABAD RAILWAY COLONY,502285,NEW DELHI
1127,UDYOG BHAWAN,502287,NEW DELHI
1128,UJWA,502289,NEW DELHI
1129,UNION PUBLIC SERVICE COMMISSION,502291,NEW DELHI
1130,KARALA,502293,NEW DELHI
1131,KANYA,502295,NEW DELHI
1132,KANGAN HERI,502297,NEW DELHI
1133,KAMLA NAGAR,502299,NEW DELHI
1134,IIT HAUZ KHAS,502301,NEW DELHI
1135,JAFFARPUR KALAN,502303,NEW DELHI
1136,KHAIRA,502305,NEW DELHI
1137,KHAMPUR,502307,NEW DELHI
1138,KHAJURI KHAS,502309,NEW DELHI
1139,KHERA DABUR,502311,NEW DELHI
1140,KHERA KALAN,502313,NEW DELHI
1141,KHERA KHURD,502315,NEW DELHI
1142,KIDWAI NAGAR EAST,502317,NEW DELHI
1143,KIDWAI NAGAR WEST,502319,NEW DELHI
1144,KIRBY PLACE,502321,NEW DELHI
1145,KRISHI BHAWAN,502323,NEW DELHI
1146,KRISHNA MARKET,502325,NEW DELHI
1147,LADPUR,502327,NEW DELHI
1148,LADY HARDINGE MEDICAL COLLEGE,502329,NEW DELHI
1149,LAJPAT NAGAR,502331,NEW DELHI
1150,LAL KUAN EDSO,502333,NEW DELHI
1151,LAMPUR,502335,NEW DELHI
1152,LAXMI BAI NAGAR,502337,NEW DELHI
1153,L M NAGAR INDUSTRIAL AREA,502339,NEW DELHI
1154,LODHI COLONY MARKET,502341,NEW DELHI
1155,LONI ROAD HOUSING COMPLEX,502343,NEW DELHI
1156,L R MARKET,502345,NEW DELHI
1157,MADIPUR SLUM QUARTERS,502347,NEW DELHI
1158,MADIPUR VILLAGE,502349,NEW DELHI
1159,MAHABIR NAGAR,502351,NEW DELHI
1160,MAIDANGARHI,502353,NEW DELHI
1161,MAJRADABAS,502355,NEW DELHI
1162,MALCHA MARG,502357,NEW DELHI
1163,MALIKPUR,502359,NEW DELHI
1164,MANDAWALI FAZALPUR,502361,NEW DELHI
1165,MANDI,502363,NEW DELHI
1166,MANGOLPURI,502365,NEW DELHI
1167,MANSAROVAR PARK,502367,NEW DELHI
1168,MASJIDMOTH GREATER KAILASH,502369,NEW DELHI
1169,MASOODPUR,502371,NEW DELHI
1170,MASTER PRITHVINATH MARG,502373,NEW DELHI
1171,MATIALA,502375,NEW DELHI
1172,MAURYA ENCLAVE,502377,NEW DELHI
1173,MBS NAGAR,502379,NEW DELHI
1174,MITRAON,502381,NEW DELHI
1175,MUBARAKPUR DABAS,502383,NEW DELHI
1176,MULTANI DHANDA,502385,NEW DELHI
1177,MUNDELA KALAN,502387,NEW DELHI
1178,NANGAL DEWAT,502389,NEW DELHI
1179,NANGAL THAKRAN,502391,NEW DELHI
1180,NARAINA VILLAGE,502393,NEW DELHI
1181,NASIRPUR,502395,NEW DELHI
1182,NATHUPURA,502397,NEW DELHI
1183,NATIONAL PHYSICAL LABORATORY,502399,NEW DELHI
1184,NAUROJI NAGAR,502401,NEW DELHI
1185,NAYA BANS,502403,NEW DELHI
1186,NEHRU NAGAR,502405,NEW DELHI
1187,NEW DELHI,502407,NEW DELHI
1188,NEW DELHI GPO,502409,NEW DELHI
1189,NEW MULTAN NAGAR,502411,NEW DELHI
1190,NEW USMANPUR,502413,NEW DELHI
1191,NI AREA,502415,NEW DELHI
1192,NIE CAMPUS,502417,NEW DELHI
1193,NILOTHI,502419,NEW DELHI
1194,NIMRI,502421,NEW DELHI
1195,NIRANKARI COLONY,502423,NEW DELHI
1196,NIRMAN BHAVAN,502425,NEW DELHI
1197,NIZAMPUR,502427,NEW DELHI
1198,NORTH AVENUE,502429,NEW DELHI
1199,NSIT DWARKA,502431,NEW DELHI
1200,OKHLA CANAL EDBO,502433,NEW DELHI
1201,RANI KHERA,502435,NEW DELHI
1202,RAOTA,502437,NEW DELHI
1203,RASHTRAPATI BHAVAN,502439,NEW DELHI
1204,REWLA KHANPUR,502441,NEW DELHI
1205,RITHALA,502443,NEW DELHI
1206,ROHTASH NAGAR,502445,NEW DELHI
1207,RR HOSPITAL,502447,NEW DELHI
1208,SADIQ NAGAR,502449,NEW DELHI
1209,SAFDARJUNG AIRPORT,502451,NEW DELHI
1210,SAMALKHA,502453,NEW DELHI
1211,SANOTH,502455,NEW DELHI
1212,HIMMATPURI,502457,NEW DELHI
1213,HIRAN KUDNA,502459,NEW DELHI
1214,HOLAMBI KALAN,502461,NEW DELHI
1215,INDIRA GANDHI NATIONAL OPEN UNIVERSITY,502463,NEW DELHI
1216,INDIRA PARK,502465,NEW DELHI
1217,INDRAPRASTHA,502467,NEW DELHI
1218,ISSAPUR,502469,NEW DELHI
1219,HAMDARD NAGAR,502471,NEW DELHI
1220,HARI NAGAR ASHRAM,502473,NEW DELHI
1221,HASTAL VILLAGE,502475,NEW DELHI
1222,GANESHPURA,502477,NEW DELHI
1223,HAREVELI,502479,NEW DELHI
1224,GHEORA,502481,NEW DELHI
1225,DHULSIRAS,502483,NEW DELHI
1226,ELECTION COMMISSION,502485,NEW DELHI
1227,FATEHPUR BERI,502487,NEW DELHI
1228,GADAIPUR,502489,NEW DELHI
1229,GHALIBPUR,502491,NEW DELHI
1230,GREEN PARK MARKET,502493,NEW DELHI
1231,GURU TEG BAHADUR HOSPITAL,502495,NEW DELHI
1232,GYMKHANA CLUB,502497,NEW DELHI
1233,GHOGA,502499,NEW DELHI
1234,GHONDA,502501,NEW DELHI
1235,GHUMAN HERA,502503,NEW DELHI
1236,GHOKALPURI,502505,NEW DELHI
1237,GOVERDHAN BIHARI COLONY,502507,NEW DELHI
1238,JHARODA MAJRA,502509,NEW DELHI
1239,JHATIKRA,502511,NEW DELHI
1240,JHILMIL,502513,NEW DELHI
1241,JNU NEW CAMPUS,502515,NEW DELHI
1242,JOHRIPUR,502517,NEW DELHI
1243,JWALA HERI,502519,NEW DELHI
1244,JWALAPURI,502521,NEW DELHI
1245,KADIPUR,502523,NEW DELHI
1246,KAKROLA,502525,NEW DELHI
1247,KALYANVAS,502527,NEW DELHI
1248,GURU GOBIND SINGH MARG,502529,NEW DELHI
1249,GURUKUL,502531,NEW DELHI
1250,HAZRAT NIZAMUDDIN,502533,NEW DELHI
1251,HIRANKI,502535,NEW DELHI
1252,H.S.SANGH,502537,NEW DELHI
1253,PANDWALA KALAN,502539,NEW DELHI
1254,ONKAR NAGAR,502541,NEW DELHI
1255,PADAM NAGAR,502543,NEW DELHI
1256,PALAM AIRPORT,502545,NEW DELHI
1257,PALLA,502547,NEW DELHI
1258,PANDARA ROAD,502549,NEW DELHI
1259,PAPRAWAT,502551,NEW DELHI
1260,PARLIAMENT HOUSE,502553,NEW DELHI
1261,PARYAVARAN COMPLEX,502555,NEW DELHI
1262,PATEL NAGAR,502557,NEW DELHI
1263,PATRACHAR VIDYALAYA,502559,NEW DELHI
1264,PEHLAD PUR,502561,NEW DELHI
1265,PEHLADPUR,502563,NEW DELHI
1266,PINTO PARK,502565,NEW DELHI
1267,POOTH KHURD,502567,NEW DELHI
1268,POWER HOUSE,502569,NEW DELHI
1269,PRAGATI VIHAR,502571,NEW DELHI
1270,PRASHANT VIHAR,502573,NEW DELHI
1271,PRATAP MARKET,502575,NEW DELHI
1272,PUNJAB KHOR,502577,NEW DELHI
1273,PUSHPA BHAVAN,502579,NEW DELHI
1274,POOTH KALAN,502581,NEW DELHI
1275,QUTABAGARH,502583,NEW DELHI
1276,RAGHUBAR PURA,502585,NEW DELHI
1277,RAIL BHAWAN,502587,NEW DELHI
1278,RAJOKRI,502589,NEW DELHI
1279,RANHOLA,502591,NEW DELHI
1280,SATBARI,502593,NEW DELHI
1281,SAT NAGAR,502595,NEW DELHI
1282,SATYAWATI NAGAR,502597,NEW DELHI
1283,SHAHBAD DAULATPUR,502599,NEW DELHI
1284,KANCHARAPALEM,502601,NEW DELHI
1285,DELHI NCR,502603,NEW DELHI
1286,SHIVAJI PARK,502605,NEW DELHI
1287,SIGNAL ENCLAVE,502607,NEW DELHI
1288,GOVIND PURA,502609,NEW DELHI
1289,KASTURBA NAGAR,502611,NEW DELHI
1290,KATEWARA,502613,NEW DELHI
1291,S J ENCLAVE,502615,NEW DELHI
1292,SHAKUR BASTI DEPOT,502617,NEW DELHI
1293,SHASTRI BHAVAN,502619,NEW DELHI
1294,SIRASPUR,502621,NEW DELHI
1295,SONIA VIHAR,502623,NEW DELHI
1296,SOUTH AVENUE,502625,NEW DELHI
1297,SRINIWASPURI,502627,NEW DELHI
1298,STATION ROAD DELHI,502629,NEW DELHI
1299,SUBROTO PARK,502631,NEW DELHI
1300,SUBZI MANDI,502633,NEW DELHI
1301,SUREHRA,502635,NEW DELHI
1302,SWAMI RAMTHIRTH NAGAR,502637,NEW DELHI
1303,TAJPUR KALAN,502639,NEW DELHI
1304,TALIMABAD,502641,NEW DELHI
1305,TB HOSPITAL,502643,NEW DELHI
1306,JAGJIT NAGAR,502645,NEW DELHI
1307,JAITPUR EDBO,502647,NEW DELHI
1308,JANATA MARKET,502649,NEW DELHI
1309,JAT KHORE,502651,NEW DELHI
1310,JAUNAPUR,502653,NEW DELHI
1311,JAUNTI,502655,NEW DELHI
1312,JHARODA KALAN,502657,NEW DELHI
1313,JEEVAN PARK,502659,NEW DELHI
1314,SECRETARIAT NORTH,502661,NEW DELHI
1315,SHAHBAD MOHAMMADPUR,502663,NEW DELHI
1316,SINGHU,502665,NEW DELHI
1317,SUBHASH NAGAR WEST,502667,NEW DELHI
1318,V. K. NAGAR,502669,NEW DELHI
1319,SHAHDARA MANDI,502671,NEW DELHI
1320,RAJGHAT POWER HOUSE,502673,NEW DELHI
1321,SABHAPUR,502675,NEW DELHI
1322,AIR FORCE STATION TUGHLAKABAD,502677,NEW DELHI
1323,AJMERI GATE EXTENSION,502679,NEW DELHI
1324,BAGDOLA,502681,NEW DELHI
1325,QUAZIPUR,502683,NEW DELHI
1326,SP SCHOOL EDSO,502685,NEW DELHI
1327,SRI NAGAR COLONY,502687,NEW DELHI
1328,S T ROAD,502689,NEW DELHI
1329,ZAKHIRA,502691,NEW DELHI
